b'czas: 72494 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 5.28 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 72627 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 7.11 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 72760 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 4.80 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 72893 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 5.76 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 73025 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 6.69 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 73157 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 4.44 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 73290 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 6.90 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 73422 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 5.34 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 73555 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 4.89 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 73688 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 7.11 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 73821 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 5.07 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 73954 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 5.34 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 74087 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 7.08 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 74220 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 4.92 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 74353 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 5.79 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 74486 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 6.72 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 74619 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 4.71 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 74752 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 6.30 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 74885 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 6.45 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 75018 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 4.53 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 75151 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 6.51 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 75284 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 5.97 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 75417 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 4.50 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 75550 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 6.93 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 75683 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 5.55 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
b'czas: 75815 [s], pomiarVT_0: 0.54 [V], pomiarVT_1: 4.68 [V], pomiarI_0: -50.00 [A], pomiarI_1: -10.00 [A], \r\n'
